"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","HHIPDLIB","HHIP_LIB","HHISTATB","HHIS_ATB","HHICOVQ","HHICOVQ_","HHIGROUP","HHIG_OUP","HHIPRDED","HHIP_DED","HHIR_MPD","QHI3MCX","QHI3MCX_","HHIBCBS","HHIBCBS_","HHICODE","HHICODE_","HHIPOS","HHIPOS_","HHISPECT","HHIS_ECT","HHIPROUT","HHIP_OUT","HHIPRYOU","HHIP_YOU","HHIRPMPD","HHISUBPD","HHIS_BPD","PORTAL","PORTAL_","PORTPLAN","PORT_LAN","PREMSUBS","PREM_UBS"
"20151","02792005",3,0,"5","01","D",,"A",1,"D","2","D","1","D","D",611,"D","1","D","2","D",,"A",,"A",,"A","1","D","01",,"A",,"A",,"A",,"A"
"20151","02792065",11,0,"5","01","D",,"A",1,"D","2","D","1","D","D",416,"D","1","D","2","D",,"A",,"A",,"A","1","D","01",,"A",,"A",,"A",,"A"
"20151","02792065",12,0,"5","02","D",,"A",1,"D","2","D","1","D","D",52,"D","2","D","2","D",,"A",,"A",,"A","1","D","01",,"A",,"A",,"A",,"A"
"20151","02792125",5,0,"5","01","D",,"A",2,"D","3","D",,"A","A",.,"A","2","D","1","D","1","D",,"A","2","D","2","D",,,"A",,"A",,"A",,"A"
"20151","02792125",6,0,"5","02","D",,"A",1,"D","3","D","2","D","D",.,"A","1","D","3","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20151","02792225",4,0,"5","01","D",,"A",1,"D","3","D",,"A","A",.,"A","1","D","1","D","2","D",,"A","2","D","2","D",,,"A",,"A",,"A",,"A"
"20151","02792245",15,0,"5","01","D",,"A",2,"D","2","D",,"A","A",.,"A","2","D","1","D","2","D",,"A","1","D","2","D",,,"A",,"A",,"A",,"A"
"20151","02792265",6,0,"5","01","D",,"A",2,"D","1","D",,"A","A",.,"A","2","D","1","D",,"C",,"A","2","D","2","D",,,"A",,"A",,"A",,"A"
"20151","02792275",8,0,"5","01","D",,"A",1,"D","1","D","2","D","D",132,"D","2","D","3","D",,"A",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20151","02792275",10,0,"5","03","D",,"A",2,"D","2","D","2","D","D",171,"D","2","D","4","D",,"A","1","D",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20151","02792295",12,0,"5","01","D",,"A",1,"D","2","D","1","D","D",650,"D","2","D","2","D",,"A",,"A",,"A","1","D","02",,"A",,"A",,"A",,"A"
"20151","02792295",13,0,"5","02","D",,"A",1,"D","1","D","2","D","C",1368,"F","2","D","3","D",,"A",,"A",,"A","1","D",,,"A",,"A",,"A",,"A"
"20151","02792385",5,0,"5","01","D",,"A",1,"D","2","D","1","D","D",300,"D","2","D","2","D",,"A",,"A",,"A","1","D","03",,"A",,"A",,"A",,"A"
"20151","02792435",5,0,"5","01","D",,"A",1,"D","2","D","1","D","D",750,"D","1","D","1","D","2","D",,"A",,"A","1","D","04",,"A",,"A",,"A",,"A"
"20151","02792525",22,0,"5","01","D",,"A",2,"D","2","D","1","D","D",342,"D","2","D","2","D",,"A",,"A",,"A","1","D","03",,"A",,"A",,"A",,"A"
"20151","02792525",23,0,"5","02","D",,"A",2,"D","2","D","1","D","D",72,"D","2","D","2","D",,"A",,"A",,"A","1","D","03",,"A",,"A",,"A",,"A"
"20151","02792525",24,0,"5","03","D",,"A",1,"D","1","D","2","D","D",.,"A","2","D","4","D",,"A","4","D",,"A","1","D","09",,"A",,"A",,"A",,"A"
